strain	date	country	division	author	author__url	accession	accession__url
EM_079408	2014-03-31	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817181	https://www.ncbi.nlm.nih.gov/nuccore/KR817181
EM_079405	2014-03-28	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817180	https://www.ncbi.nlm.nih.gov/nuccore/KR817180
EM_079464	2014-04-04	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817195	https://www.ncbi.nlm.nih.gov/nuccore/KR817195
EM_079444	2014-04-02	Guinea	Kissidougou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817193	https://www.ncbi.nlm.nih.gov/nuccore/KR817193
EM_079450	2014-04-01	Liberia	Liberia	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817194	https://www.ncbi.nlm.nih.gov/nuccore/KR817194
EM_079622	2014-04-28	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817203	https://www.ncbi.nlm.nih.gov/nuccore/KR817203
EM_080076	2014-06-22	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817235	https://www.ncbi.nlm.nih.gov/nuccore/KR817235
EM_079659	2014-05-07	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817206	https://www.ncbi.nlm.nih.gov/nuccore/KR817206
EM_079657	2014-05-07	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817205	https://www.ncbi.nlm.nih.gov/nuccore/KR817205
EM_079630	2014-05-01	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817204	https://www.ncbi.nlm.nih.gov/nuccore/KR817204
EM_079677	2014-05-10	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817207	https://www.ncbi.nlm.nih.gov/nuccore/KR817207
